date,open,high,low,close,volume
2024-01-24,231,261,176,217,17114
2024-01-25,146,391,15,174,3669
2024-01-26,368,556,162,319,8578
2024-01-27,377,506,243,310,6249
2024-01-28,219,224,117,121,15337
2024-01-01,501,778,462,634,31398
2024-01-02,176,445,-69,158,31227
2024-01-03,227,302,158,161,13025
2024-01-04,579,865,312,773,12411
2024-01-05,482,619,423,552,27282
2024-01-06,120,379,-22,124,22304
2024-01-07,382,613,320,524,6139
2024-01-08,172,469,-19,355,12912
2024-01-09,345,401,310,351,28191
2024-01-10,401,451,105,136,22786
2024-01-11,340,367,179,212,17063
2024-01-12,566,586,482,510,30220
2024-01-13,136,409,98,332,31699
2024-01-14,511,779,455,619,12658

2024-01-15,212,370,-32,173,30269
2024-01-16,356,549,305,531,6195
2024-01-17,107,139,-109,59,12933
2024-01-18,255,374,54,306,19118
2024-01-19,191,475,-94,115,17121
2024-01-20,244,277,203,231,30808
2024-01-21,226,500,-23,62,4176
2024-01-22,314,377,89,173,17647
2024-01-23,569,612,431,486,9085
2024-01-24,357,532,74,260,15926
2024-01-25,432,666,237,259,1136
2024-01-26,411,422,166,382,6365
2024-01-27,448,741,432,705,25116
2024-01-28,253,280,117,250,29472
2024-01-01,146,227,61,215,21425
2024-01-02,442,482,294,305,8884
2024-01-03,330,608,272,600,26496
2024-01-04,413,622,234,553,8304
2024-01-05,497,533,412,457,29656
2024-01-06,450,684,406,463,31689
2024-01-07,468,745,412,733,10836
2024-01-08,179,340,6,316,26969
2024-01-09,521,635,447,564,18044
2024-01-10,387,638,383,446,28668
2024-01-11,453,619,398,463,30815
2024-01-12,404,528,155,279,9960
2024-01-13,371,645,172,224,9401
2024-01-14,435,644,281,537,30376
2024-01-15,425,451,348,349,31758
2024-01-16,166,186,40,67,14517
2024-01-17,364,384,136,264,4311
2024-01-18,224,503,98,399,27954
2024-01-19,329,400,35,335,10366
2024-01-20,543,622,440,605,30967
2024-01-21,111,339,-13,120,4964
2024-01-22,274,293,45,88,27629
2024-01-23,345,607,197,474,28890
2024-01-24,478,505,197,433,25898
2024-01-25,231,298,219,227,18026
2024-01-26,397,673,218,444,2129
2024-01-27,275,388,110,218,19970
2024-01-28,571,624,311,597,29690
2024-01-01,210,360,129,327,25549
2024-01-02,199,486,94,165,31412
2024-01-03,255,314,214,278,4497
2024-01-04,589,774,366,518,20663
2024-01-05,231,257,206,256,28876
2024-01-06,342,520,337,438,11766
2024-01-07,210,504,-64,489,13161
2024-01-08,172,252,148,200,6481
2024-01-09,220,397,-40,246,11497
2024-01-10,105,335,-31,21,17298
2024-01-11,223,298,-7,179,26495
2024-01-12,281,362,157,351,3906
2024-01-13,506,660,380,482,21977
2024-01-14,286,333,10,129,31193
2024-01-15,497,724,458,507,22702
2024-01-16,544,660,407,621,15732
2024-01-17,340,363,121,282,3803
2024-01-18,398,498,161,413,24435
2024-01-19,501,797,394,669,9999
2024-01-20,419,646,278,633,9318
2024-01-21,177,220,122,148,13339
2024-01-22,341,625,113,228,3024
2024-01-23,566,761,285,758,28377
2024-01-24,159,440,112,298,3866
2024-01-25,366,406,327,405,19537
2024-01-26,280,436,99,103,18692
2024-01-27,309,530,287,317,33575
2024-01-28,144,273,18,98,28275
2024-01-01,278,497,134,446,27744
2024-01-02,443,688,375,629,24705
2024-01-03,490,632,296,475,21553
2024-01-04,343,346,132,255,16140
2024-01-05,468,584,355,453,11688
2024-01-06,374,417,355,359,21600
2024-01-07,525,612,341,397,31883

2024-01-08,316,365,102,113,12600
2024-01-09,333,474,177,408,16522
2024-01-10,135,259,-96,35,24991
2024-01-11,442,575,148,232,29685
2024-01-12,270,527,189,467,7335
2024-01-13,244,403,160,176,14125
2024-01-14,340,549,57,140,2598
2024-01-15,331,344,204,330,32305
2024-01-16,165,367,-70,274,5635
2024-01-17,256,445,163,395,14294
2024-01-18,509,789,218,700,6356
2024-01-19,428,646,357,374,17749
2024-01-20,559,850,324,409,16460
2024-01-21,572,737,476,615,19994
2024-01-22,219,325,200,201,26415
2024-01-23,528,754,267,362,7416
2024-01-24,210,295,-28,205,17312
2024-01-25,354,441,153,178,2395
2024-01-26,341,549,176,462,15575
2024-01-27,338,448,298,341,1942
2024-01-28,458,687,440,541,12775
2024-01-01,321,512,157,284,20098
2024-01-02,246,314,-33,11,28045
2024-01-03,424,696,291,415,1466
2024-01-04,213,263,-32,119,5318
2024-01-05,383,503,278,409,25480
2024-01-06,482,771,346,464,28999
2024-01-07,197,460,85,231,14996
2024-01-08,592,793,557,745,21841
2024-01-09,559,813,376,494,33750
2024-01-10,272,339,131,191,6965
2024-01-11,112,331,-44,172,16049
2024-01-12,567,768,412,685,28505
2024-01-13,394,689,244,651,22061
2024-01-14,459,514,189,339,19447
2024-01-15,200,240,109,187,4348
2024-01-16,185,363,-108,216,28985
2024-01-17,316,430,68,296,12860
2024-01-18,168,417,71,276,33451
2024-01-19,568,785,351,710,2403
2024-01-20,118,284,8,216,27517
2024-01-21,550,623,502,507,21284
2024-01-22,106,348,-143,293,2538
2024-01-23,111,254,-45,-32,15469
2024-01-24,584,584,444,580,7800
2024-01-25,357,468,230,452,32564
2024-01-26,455,505,304,469,31631
2024-01-27,430,572,303,327,14635
2024-01-28,151,293,-31,-3,17262
2024-01-01,433,460,148,152,11118
2024-01-02,369,559,195,555,24771
2024-01-03,414,476,402,444,5680
2024-01-04,273,283,185,218,12950
2024-01-05,146,164,135,144,30679
2024-01-06,439,528,371,457,5387
2024-01-07,388,407,298,387,9517
2024-01-08,391,567,258,489,19936
2024-01-09,356,508,206,388,19718
2024-01-10,246,261,217,247,2497
2024-01-11,570,724,549,610,23213
2024-01-12,336,370,218,365,27655
2024-01-13,509,702,259,380,6686
2024-01-14,180,269,157,247,18719
2024-01-15,535,617,487,488,32761
2024-01-16,165,412,34,308,3987
2024-01-17,236,345,80,319,30888
2024-01-18,448,489,416,430,17013
2024-01-19,517,803,370,712,7726
2024-01-20,379,499,211,470,22606
